2024-05-14 11:46:19,671 p=27064 u=vagrant n=ansible | [WARNING]: Unable to parse /home/vagrant/ansible/example-voting-app/ansible/inventory as an inventory source

2024-05-14 11:46:19,672 p=27064 u=vagrant n=ansible | [WARNING]: No inventory was parsed, only implicit localhost is available

2024-05-14 11:46:19,690 p=27064 u=vagrant n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2024-05-14 11:46:20,215 p=27064 u=vagrant n=ansible | PLAY [Deploy containers] ***********************************************************************************************************************************************************
2024-05-14 11:46:20,215 p=27064 u=vagrant n=ansible | skipping: no hosts matched
2024-05-14 11:46:20,216 p=27064 u=vagrant n=ansible | PLAY RECAP *************************************************************************************************************************************************************************
2024-05-14 11:48:06,295 p=27090 u=vagrant n=ansible | PLAY [Deploy containers] ***********************************************************************************************************************************************************
2024-05-14 11:48:06,330 p=27090 u=vagrant n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************************
2024-05-14 11:48:15,593 p=27090 u=vagrant n=ansible | ok: [app01-staging]
2024-05-14 11:48:15,791 p=27090 u=vagrant n=ansible | TASK [Include vars] ****************************************************************************************************************************************************************
2024-05-14 11:48:15,858 p=27090 u=vagrant n=ansible | ok: [app01-staging]
2024-05-14 11:48:15,963 p=27090 u=vagrant n=ansible | TASK [Make dir] ********************************************************************************************************************************************************************
2024-05-14 11:48:16,878 p=27090 u=vagrant n=ansible | changed: [app01-staging]
2024-05-14 11:48:16,972 p=27090 u=vagrant n=ansible | TASK [Copy DC file] ****************************************************************************************************************************************************************
2024-05-14 11:48:18,738 p=27090 u=vagrant n=ansible | changed: [app01-staging]
2024-05-14 11:48:18,835 p=27090 u=vagrant n=ansible | TASK [Stop all docker containers] **************************************************************************************************************************************************
2024-05-14 11:48:20,179 p=27090 u=vagrant n=ansible | fatal: [app01-staging]: FAILED! => {"changed": true, "cmd": "docker stop $(docker ps -q)", "delta": "0:00:00.302905", "end": "2024-05-14 11:48:20.040108", "msg": "non-zero return code", "rc": 1, "start": "2024-05-14 11:48:19.737203", "stderr": "\"docker stop\" requires at least 1 argument.\nSee 'docker stop --help'.\n\nUsage:  docker stop [OPTIONS] CONTAINER [CONTAINER...]\n\nStop one or more running containers", "stderr_lines": ["\"docker stop\" requires at least 1 argument.", "See 'docker stop --help'.", "", "Usage:  docker stop [OPTIONS] CONTAINER [CONTAINER...]", "", "Stop one or more running containers"], "stdout": "", "stdout_lines": []}
2024-05-14 11:48:20,180 p=27090 u=vagrant n=ansible | ...ignoring
2024-05-14 11:48:20,301 p=27090 u=vagrant n=ansible | TASK [Remove all unused and dangling docker images] ********************************************************************************************************************************
2024-05-14 11:48:26,171 p=27090 u=vagrant n=ansible | changed: [app01-staging]
2024-05-14 11:48:26,289 p=27090 u=vagrant n=ansible | TASK [Setup with docker-compose] ***************************************************************************************************************************************************
2024-05-14 11:48:28,673 p=27090 u=vagrant n=ansible | fatal: [app01-staging]: FAILED! => {"changed": true, "cmd": "docker-compose up -d", "delta": "0:00:01.656749", "end": "2024-05-14 11:48:28.529031", "msg": "non-zero return code", "rc": 1, "start": "2024-05-14 11:48:26.872282", "stderr": "build path /tmp/votingapp/seed-data either does not exist, is not accessible, or is not a valid URL.", "stderr_lines": ["build path /tmp/votingapp/seed-data either does not exist, is not accessible, or is not a valid URL."], "stdout": "", "stdout_lines": []}
2024-05-14 11:48:28,676 p=27090 u=vagrant n=ansible | PLAY RECAP *************************************************************************************************************************************************************************
2024-05-14 11:48:28,677 p=27090 u=vagrant n=ansible | app01-staging              : ok=6    changed=4    unreachable=0    failed=1    skipped=0    rescued=0    ignored=1   
2024-05-14 11:50:49,269 p=27240 u=root n=ansible | PLAY [Deploy containers] ***********************************************************************************************************************************************************
2024-05-14 11:50:49,304 p=27240 u=root n=ansible | TASK [Gathering Facts] *************************************************************************************************************************************************************
2024-05-14 11:50:57,352 p=27240 u=root n=ansible | ok: [app01-staging]
2024-05-14 11:50:57,552 p=27240 u=root n=ansible | TASK [Include vars] ****************************************************************************************************************************************************************
2024-05-14 11:50:57,624 p=27240 u=root n=ansible | ok: [app01-staging]
2024-05-14 11:50:57,737 p=27240 u=root n=ansible | TASK [Make dir] ********************************************************************************************************************************************************************
2024-05-14 11:50:58,664 p=27240 u=root n=ansible | ok: [app01-staging]
2024-05-14 11:50:58,761 p=27240 u=root n=ansible | TASK [Copy DC file] ****************************************************************************************************************************************************************
2024-05-14 11:51:00,298 p=27240 u=root n=ansible | ok: [app01-staging]
2024-05-14 11:51:00,428 p=27240 u=root n=ansible | TASK [Stop all docker containers] **************************************************************************************************************************************************
2024-05-14 11:51:01,728 p=27240 u=root n=ansible | fatal: [app01-staging]: FAILED! => {"changed": true, "cmd": "docker stop $(docker ps -q)", "delta": "0:00:00.277993", "end": "2024-05-14 11:51:01.597245", "msg": "non-zero return code", "rc": 1, "start": "2024-05-14 11:51:01.319252", "stderr": "\"docker stop\" requires at least 1 argument.\nSee 'docker stop --help'.\n\nUsage:  docker stop [OPTIONS] CONTAINER [CONTAINER...]\n\nStop one or more running containers", "stderr_lines": ["\"docker stop\" requires at least 1 argument.", "See 'docker stop --help'.", "", "Usage:  docker stop [OPTIONS] CONTAINER [CONTAINER...]", "", "Stop one or more running containers"], "stdout": "", "stdout_lines": []}
2024-05-14 11:51:01,729 p=27240 u=root n=ansible | ...ignoring
